day_of_week,hour_of_day,number_of_issues
1,8,1283
1,9,24833
1,10,114566
1,11,135251
1,12,95850
1,13,75440
1,14,110770
1,15,114528
1,16,94073
1,17,23810
1,18,9643
1,19,1325
2,8,1451
2,9,34823
2,10,134700
2,11,154422
2,12,107579
2,13,79832
2,14,112249
2,15,119250
2,16,99084
2,17,23167
2,18,8169
2,19,1785
3,8,1219
3,9,24743
3,10,82872
3,11,105210
3,12,74094
3,13,54391
3,14,76254
3,15,79321
3,16,67566
3,17,15767
3,18,7473
3,19,1413
4,8,2141
4,9,38501
4,10,121298
4,11,139345
4,12,100579
4,13,76609
4,14,99997
4,15,105239
4,16,88284
4,17,24055
4,18,9902
4,19,1746
5,8,1323
5,9,38811
5,10,134161
5,11,153482
5,12,109184
5,13,86179
5,14,119246
5,15,125263
5,16,104505
5,17,22755
5,18,7799
5,19,1511
6,8,591
6,9,56093
6,10,193731
6,11,252195
6,12,165373
6,13,81741
6,14,81558
6,15,81675
6,16,45927
6,17,1359
6,18,394
7,9,210
7,10,3084
7,11,6393
7,12,4992
7,13,9830
7,14,14437
7,15,10433
7,16,5495
7,17,157